player,gir_pct,driving_accuracy,scoring_avg,birdie_rate_per_hole
Stephan Jaeger,0.65955,0.56655,70.09,0.22657777777777777
Sung Kang,0.672,0.521,71.2,0.20183333333333334
Matteo Manassero,0.65,0.601,70.2,0.19122222222222224
Cristobal Del Solar,0.638,0.517,71.2,0.20233333333333334
Cody Gribble,0.675,0.605,70.5,0.21188888888888893
Viktor Hovland,0.6756,0.6259,69.83500000000001,0.2362
Jason Day,0.65455,0.61215,69.915,0.21980277777777776
Joel Dahmen,0.6921499999999999,0.69035,70.115,0.2104972222222222
Antoine Rozner,0.6990000000000001,0.585,70.2,0.21705555555555558
Brian Stuard,0.624,0.647,71.2,0.1895
Dylan Wu,0.6896249999999999,0.6077499999999999,69.98749999999998,0.2244722222222222
Beau Hossler,0.6611,0.5650499999999999,69.89999999999999,0.22230555555555556
William Mouw,0.706,0.619,69.7,0.22755555555555557
Kyle Westmoreland,0.665,0.47600000000000003,71.2,0.20044444444444445
Bud Cauley,0.6728235294117648,0.6134705882352941,69.98235294117647,0.21077777777777779
Joe Highsmith,0.6422941176470588,0.6189411764705882,70.65882352941176,0.21713725490196079
Ben Martin,0.6836000000000001,0.6202,70.02,0.21815555555555552
Corey Conners,0.69625,0.6524499999999999,69.905,0.21761666666666662
Justin Rose,0.64095,0.60305,70.44,0.22390277777777778
Luke List,0.6794,0.6072,70.55,0.2031611111111111
J.J. Spaun,0.7,0.6218,69.565,0.2258027777777778
Erik van Rooyen,0.6779,0.5926999999999999,70.285,0.22289722222222222
Harry Hall,0.6556000000000001,0.5733499999999999,69.08,0.24879166666666663
Brandt Snedeker,0.6581764705882354,0.6694117647058823,70.4,0.2063496732026144
Raul Pereda,0.573,0.568,72.1,0.16444444444444445
Keegan Bradley,0.6644,0.6124,69.985,0.21710555555555555
Brian Campbell,0.612,0.6679999999999999,71.1,0.20672222222222222
Camilo Villegas,0.6481764705882352,0.5455294117647059,70.99411764705883,0.21446078431372548
S.H. Kim,0.6265,0.5674999999999999,70.2375,0.22336111111111112
Carl Yuan,0.6467499999999999,0.5742499999999998,70.87499999999999,0.20768750000000002
Parker Coody,0.6609999999999999,0.5329999999999999,70.4,0.1887222222222222
Max Homa,0.658,0.5946499999999999,70.41499999999999,0.21714166666666665
Michael Kim,0.6678,0.58655,70.02499999999999,0.20822500000000002
Kevin Kisner,0.623,0.622,71.8,0.1773888888888889
Xander Schauffele,0.679,0.57185,69.55,0.22588611111111112
Adrien Dumont de Chassart,0.662,0.555,70.5,0.20777777777777778
Kelly Kraft,0.67,0.667,70.5,0.20372222222222222
Charley Hoffman,0.67525,0.5738749999999999,70.05,0.2255347222222222
Tom Kim,0.6507499999999999,0.6234999999999999,70.38499999999999,0.20993333333333333
Ben Griffin,0.69305,0.592,69.235,0.2278972222222222
Kaito Onishi,0.631,0.599,71.2,0.18705555555555556
Ryan Palmer,0.63185,0.615,71.36,0.1968333333333333
Kevin Roy,0.6890000000000001,0.64,69.69999999999999,0.21973333333333334
Tyson Alexander,0.634625,0.552375,71.0375,0.20522916666666668
Lee Hodges,0.6957,0.6469,69.7,0.21132777777777778
Lucas Herbert,0.621,0.5579999999999999,70.6,0.21505555555555556
Brent Grant,0.684,0.636,71.1,0.21494444444444447
Frankie Capan III,0.601,0.458,71.2,0.19405555555555554
Max McGreevy,0.6776,0.6688,70.08,0.21681111111111107
Carson Young,0.6954,0.6778500000000001,69.96499999999999,0.223775
Cameron Young,0.6542,0.56105,70.145,0.23465
Mark Hubbard,0.6778,0.63115,69.86,0.22381666666666664
Mason Andersen,0.642,0.5870000000000001,70.9,0.19916666666666666
Hayden Buckley,0.67555,0.655,70.65499999999999,0.2031722222222222
Callum Tarren,0.668875,0.521375,70.91249999999998,0.2011736111111111
Austin Cook,0.652,0.653,70.6,0.20327777777777778
Trey Mullinax,0.6853999999999999,0.5186000000000001,70.3,0.22356666666666666
Robert Streb,0.665,0.57,70.6,0.19
Trevor Werbylo,0.6409999999999999,0.514,71.3,0.18605555555555556
Sepp Straka,0.69225,0.6659499999999999,69.85499999999999,0.22634166666666666
David Lipsky,0.677,0.64385,70.355,0.20677222222222222
Sam Stevens,0.6734500000000001,0.5903999999999999,69.955,0.2097972222222222
Kevin Velo,0.669,0.643,71.1,0.20255555555555554
Shane Lowry,0.6695499999999999,0.639,70.11999999999999,0.20259444444444444
Peter Malnati,0.6166999999999999,0.49775,71.03,0.19543055555555555
Thomas Rosenmueller,0.722,0.624,69.9,0.22222222222222224
Si Woo Kim,0.66255,0.6705,69.705,0.2243111111111111
Ryan Brehm,0.655,0.5449999999999999,71.62499999999999,0.18538194444444442
Byeong Hun An,0.6599499999999998,0.5373499999999999,70.19500000000001,0.2190416666666667
Scott Harrington,0.664,0.527,71.1,0.216
Jordan Spieth,0.6483499999999999,0.5897999999999999,70.14999999999999,0.21776944444444443
